,num-episode,review-score,positive-negative,review-title,review-comment
10,0,7,0," The 100 1x01 pilot revisited review
","When I first watched it I was not keen and did not enjoy it I would be gave a 4 out of 10, after rewatching it I actually really liked the pilot its fun seeing characters and now knowing how much they would develop in future seasons, i still find some of season one. cringe but yeah still enjoyable"
11,0,3,0," Trash
","Oh my god, what i have seen right now i mean the plot was good but other than that nothing was really good. The characters are bad, the story telling wasn't that good or even deep and the actors were soooo cringy, the ending was so predictable. Sorry i couldn't handle it to be honest. This was the beginning of this series so absolutely i'm going to give it a second chance"
12,0,1,0," Just a big NO
","When characters have no real and deep motivation, when the gap between potentialy great plot idea, to the execution of this plot is exactly the difference between: "" small step for man and giant step for mankind"". I took a step back and ran away for my life...I can only feel the huge regret for every minute I've wasted on this one.When creating a movie,
The most important focus
(and it is the same on any feature film or TV show)
is on How reliable is the reality I aim to create, and how much I am obligated to create structure, rules, music, sounds, designs and any other characteristics of this film's reality.This TV show pilot faild to do it all."
13,1,6,0," Rescue mission
","Too many people kissing and stripping down to underwear don't make a show. Lucky us, the second episode of ""The 100"", ""Earth Skills"" offers a little bit more than just that.So, we lost one member... oh, no, we actually didn't. The show trips itself up by doing that cheap trick of having someone seem to die but actually not. Clarke knows they can't leave behind their friend, and puts up a team to get him back and try to discover a little bit more of what's going on on Earth. Finn, on the other hand, doesn't seem to happy to be in danger (who would?) and Wells is having a case of I-need-you-to-look-at-me! (lucky for us, it's actually quite toned down). As I said in the previous episode, nothing new under the sun.This second episode tries to put the dynamics of the 100 more clearly out there, but one has to wonder what all the other 80-something people are doing with all the free time they have in their hands. Bellamy tries to make his grip on the team stronger, but he still seems quite weak as a ambiguous leader. And his henchman John Murphy (Richard Harmon) is so one-side note its amazing (maybe he will start having a change of mind some episodes further down?). Up on the Ark, Clarke's mother is putting some things in motion, but the power struggle is for now less interesting that what's happening on the ground.For now, ""The 100"" keeps being fun sci-fi, with some nice references and good pace, but with too many people making eyes to each other. And do they really have to get their clothes off and run into any stream or river they see?"
14,1,7,0," The Ark is interesting, The Earth is not.
",Earth part is so boring. Are Clarke and Monty the only one who has brain? What's wrong with these people on Earth.
15,1,5,0," A So-So Second Episode
","Plot In A Paragraph: Upon discovering that Jasper may still be alive, Clarke (Eliza Taylor) Bellamy (Bob Morley) Finn (Thomas McDonell) Wells (El Wells and Murphy (Richard Harmon) head out to find him. On the Ark, Abby (Paige Turco) is determined to prove Earth is habitable, and enlists a mechanic named Raven (Linsey Morgan) to craft an escape pod.Another so-so episode that ends on a cliffhanger, as always in a teen drama, we have a love triangle. Clarke (the gorgeous Eliza Taylor) is the object of affection of both Finn and Wells. Finn is all cocky arrogance, whilst Wells is a nice guy and supportive friend to her (he only get sent to jail to ensure he could be with her when she got sent to earth. He is constantly teased about Clarke, by Bellamy ""She doesn't even see you"" and is bullied by Murphy, who is already established as the bad boy of the show, even if it is Bellamy who is in charge. Just don't disobey him.I was critical of the acting in the pilot episode, and whilst Taylor and Morley are ok, Avgeropoulous is still bad and Eli Goree is the best of the bunch followed by Richard Harmon, who makes Murphy very easy to dislike."
16,1,9,1," The 100 1x02 Earth Skills revisited review
","I really liked this episode, way better then the pilot episode, it was fun seeing the characters interact, the stuff on the ark is fun, the stuff on earth is too, I love this series becomes a much better show later on"
17,1,10,1," Awesome new series!
","Everyone is entitled to their opinion! Makes life interesting. I've turned off a lot of movies and shows but this pilot I actually watched a second time with a friend.I personally loved it. Acting was good and it was good to see some familiar and new faces. I hope they keep the concept real with them never having seen earth, which will mean none of them have, 97 years has passed. I remember experiencing water and grass for the first time through my child, it was an experience I will never forget. Not sure yet what they have experienced in a ""space world"" but it's still not the same so I hope they keep it ""real"". I'm looking forward to more shows. Good looking cast! For those who didn't like it, hope you find something you like."
18,1,1,0," This movie is for Kids
",So let me get this : they are just landed on Earth and instead of securing water and food and shelter they start running around and playing? And the taugh guy finds it more important to take the wrist of the girl rather than facing the danger?
19,2,7,0," What makes a series tick?
","In the end, it's relationships. If the characters are well developed, we can overcome some shortcomings of the plot, as we care about them.""The 100"" takes one step closer to making us care about that bunch of misfits that are on Earth hoping to stay alive through thick and thin. This third episode is a very solid one, and it also shows that the writers are not going to shy away from taking some hard decisions.Jasper is more dead than alive, but they took him back to camp, so Clarke, with Finn and Wells go out in search of a plant that may help him get better. On the way, they get ""attacked"" by a fog (""Lost"" style). Will they get back in time to save their friend? And will anything happen to the hunting party led by Bellamy?As said above, this episode is quite well written. There's still some overacting, and some things just happen too conveniently, but the show is going in the right direction. Clarke, Finn, etc, are being well developed through their relationships, interactions, and some flashbacks from their time back on the Ark (too many, actually). But you will start feeling something for them, for their motives, fears and desires. And when a show can make the viewer feel that, it's a winner."
20,2,8,1," Things are getting interesting
","Well developed characters, Some mysteries opening up. Story are more interesting now."
21,2,9,1," The 100 1x03 Earth Kills revisited review
","Another strong episode with some added mystery character development, it was fun engaging and entertaining, I feel this series is better then most critical acclaimed shows, its way better then Lost which was a very long and unless watch"
22,3,7,0," Ups, the marmalade
","Stanford-prison-experiment patient Murphy is taking his job as Bellamy's second in command too seriously, so when his knife is found and people suspect him of killing Wells, all hell breaks loose.This fourth episode of season one is an action packed episode, filled with quite some good moments and nice plot developments. The series is keeping the pace high and not letting the viewer fall asleep. There's still too much ""love"" going around (it's been one week, so a kiss or two should be expected, though). Putting one-note character Murphy as the center of the episode lets violence take center stage, as he is not one to take things down and Richard Harmon does a good job of making the character feel more human than till now.On the Ark, Clarke's mother decides to get into a pod and get to Earth to see if her daughter is fine. This helps to keep the tension of power struggle between her and Councillor Marcus Kane (how can he keep that hair-style?).On the down side, there's also one of those cheesy moments when characters have to act, time running down, but decide they have time to talk, hug and cry. Otherwise, great episode."
23,3,8,1," Stronger Episode
","This was easily the best episode this season, but while the writing can be pretty fantastic, the acting is all over the map. The amount of time between reveals was a bit short, however, which took some of the wind out of the sail of the episodes two big plot points. That said, with the large shakeups this episode did unleash, hopefully the episodes going forward will have more material to work with.The series has potential, and barring some missteps, this was a change for the better. And ultimately, that's about the best way to summarize the midseason mark. As an individual episode, it was fairly decent, but the amount of variables it has thrown in to the mix now, with several threats on the ground surface, and questions about whether or not establishing contact to the station above will be even possible with the political actions underway spaceside, this could help make things better, by going in two polar directions: Either by shrinking the amount of groups to worry about, and thus giving both the individuals and the threats more focus time, or by expanding them, and thus minimizing the required amount of ""fluff"" episodes needed to keep the universe interesting.Either way, this was perhaps the episode that made me the most excited for the series going forward."
24,3,8,1," Pressure regulator
","Clarkes mom: How long does it take you to install a pressure regulator?Expert young genius mechanic working on a spaceship to earth holding a pressure meter with two hoses attached:""Hmm a couple hours maybe?"""
25,3,8,1," Good episode, both the Ark and the Earth
","Charlot plot is a bit boring and annoying but i like how it ended.
meanwwhile on The Ark, The story is getting more interesting and more."
26,3,9,1," Murphys law is a great episode
","I love the episode ,it was quite a dark tone and touched on a more adult themes. I felt both stories on earth and the ark were equal in terms of being interesting and entertaining and the last half was great"
27,4,8,1," Breath
","Raven arrives to Earth, but Bellamy is on a fight against Clarke and Finn to arrive first to her, as he's afraid of the Ark knowing they are alive. But on Raven's chance to contact back with the Ark the lives of many up there depend, as Kane's plan to sacrifice 300 people has been approved. With lives on stake, will they be able to overcome Bellamy?""The 100"" continues to surprise. If in previous episodes they hadn't been afraid of killing off some characters we were starting to care for, while also keeping the tension and not making the series a gore-fest, in this new episode is a fight against time, with many more lives at stake than till now.Of course, the show can't make us care about 300 people in just one episode, but they go the route of fleshing out some of the people we didn't know till now. One, two scenes, that show they are human as all the protagonists, and giving them the chance to shine makes the threat that hangs over their heads something we will care about. They are not faceless anymore.Oh, and Finn has a problem, as he now has Ark-girlfriend and Earth-girlfriend. It's pretty obvious some tension will be rising in future episodes between them three.And just in case we didn't have enough, it ends on a magnificent (even if foreseeable) cliffhanger."
28,4,6,0," Twilight last gleaming is the beginning of season ones biggest problem
","This begins the whole Clarke raven Finn love triangle which is beyond too teen drama for me and it runs through most of the season and it takes a bit out of each episode with it, the episode is good but it started a major misstep and made season one weak for it"
29,4,7,0," Another Solid Episode
","Plot In A Paragraph: A plan to contact the Ark is put in motion after Raven (Lindsey Morgan) crash lands on Earth. Meanwhile, Abby (Paige Turco) exposes Kane's (Henry Ian Cusick) plan to reduce the population of the Ark.This episode was utterly heartbreaking at times, Bellamy (Bob Morley) shows the lengths he is prepared to go to to, he will literally do anything to protect his sister, and she was aghast at why he had done in order to follow her down ""I didn't ask you to do that!! I didn't ask for any of this"" Chancellor Thelonious Jaha (Isaiah Washington) prepares to make the ultimate sacrifice alongside his people. Deplorable Kane (Henry Ian Cusick) is still a cartoon villain with silly hair though.The dynamic between Bellamy and Clarke (Eliza Taylor) is the main focal point of the show, he is not the selfish prick he seemed to be in the first couple of episodes and through his love for his sister and hints at back story we are seeing there is more to him and his actions. There scenes are the best acted ones, they play well off each other.The anticipated Clarke, Finn Raven love triangle was quickly brushed over with Clarke removing herself from the equation ""I was around, passibly cute and now it is over."" I was expecting it to be much more prolonged and drawn out.I found the way certain people on the ark volunteered for death very touching!! Especially the Dad who was doing it for his daughter. 3 solid episodes in a row."
30,4,8,1," Really good episode
",This episode filled with tough decisions. the story is good and interesting. It finished the plot point of the first 5 episodes.
31,5,7,0," Grounder's territory
","Octavia has disappeared, so Bellamy goes on crazy mode and runs to find her. Of course, being the leader he takes with him some of the people, including Jasper and Finn. At the same time Raven and Clarke go together to Finn's hideout, in the hope of finding something that will help them fix the radio.This episode is another good one, specially the last third. Bellamy's team going into grounder territory gives us the chance of some thrilling moments and also some other scary ones. That the grounders know the territory and have better weapons makes for a one-sided fight, which helps keeping the viewer on the edge of their seats. Of course we can't help but having one or two of ""I've-become-stupid"" moments, where characters take ""scratch-your-heads"" decisions. Otherwise, Earth has become everyone's ground, and the better for it. Bellamy is becoming one of the most fleshed out characters, and he takes center in this action packed episode. The use of flashbacks is a little bit concerning, though, as it helps keeping the plot developments to a minimum.On the other hand, Clarke and Raven's relationships is a little bit trite, and reeks of conventionality. You could cut the atmosphere with a knife..."
32,5,7,0," Flashback's Reveal Blake Siblings Heartache.
","Plot In A Paragraph: Bellamy (Bob Morley) Finn (Thomas McDonell) and Jasper Jasper (Devon Bostick) head into Grounder territory to search for Octavia (Marie Avgeropoulous) as flashbacks show the siblings' difficult childhood on the Ark. Meanwhile, Raven (Linsey Morgan) finds out about Clarke (Eliza Taylor) and Finn.It is established in this episode The 100 have been on the ground 10 days. Although the number of them keeps getting smaller, as 3 more bite the dust in this episode. Through flashbacks, we find out just why Bellamy is so protective of Octavia ""Your sister, your responsibility"" he was there at her birth and even named her. The scene where he breaks the rules and she finally gets to leave their room is touching and sad, but has some serious consequences. They really go at each other at one point in this episode, and the scene features the best acting Marie Avgeropoulous (whom I have being critical of) has done on the show.Meanwhile, Finn is still perusing Clarke, despite his girlfriend Raven now being on earth. I thought the love triangle was brushed off too easily in the last episode. It didn't take Raven long enough to put two and two together."
33,5,8,1," Action-Packed
","An action-packed episode that reveal more information about Grounders, some good flashback scene."
34,5,8,1," His sisters keeper is a fantastic episode focused on the Blake family
","I loved the flashbacks and the building of Bellamy and Octavia and their sibling brother sister relationship, their back story was quite tragic and sad but this was great to flesh out some past stuff while keeping the plot on earth and the ark moving forward, the only neg I have is of course the tween crap"
35,5,2,0," What the heck was this
",So much crying and speeches and drama. This is my second time I'm trying to watch this but its sooo boring. I hope goody miss two shoes character Clarke dies sometime soon so maybe we will get less sermons and pretentiousness.
36,6,9,1," Titanic In Space
","I must admit I was close to giving up on this series but after this episode I'm gonna give it another chance. The acting which has been all over the place in previous episodes is good all around in this one and it's a tense, edge-of-your-seat episode that shows new sides to some well-known characters and also introduces an interesting new one. I do feel, though, that they need to start introducing some more characters among the 100. Surely they cant' all be happy about Bellamy's management style. But this one is definitely the the best episode so far. Let's hope the show really takes off now. The idea is great and it deserves this kind of execution"
37,6,8,1," Under Pressure..
","Fun, enjoyable episode. Interesting decisions & characters new side. while introducing some new characters."
38,6,8,1," contents under pressure is another strong episode
","Another great episode following the previous episode, a lot of character interactions were interesting and entertaining, the plot was good and so a was the acting"
39,7,6,0," Bellamy's fate
","Since the 100 and the Ark got into contact, there was the Bellamy's conundrum to take care of. He was alive, and he had shoot the Chancellor. And when he and Clarke go to a depot close by, in search of anything that could help with the coming winter, someone is following them, with orders to shut him up forever...This eighth episode of season one is a weaker effort than previous episodes. Bellamy and Clarke become closer, and with a killer on their heels, they may die out there, before getting back to camp. Raven is trying to get Finn back in a childish way, and Octavia wants to help Lincoln, the grounder, as she believes his situation to be unfair and his life on danger. But a big part of the episode gets lost in a hallucinogenic trip the people get because of some food they eat.At least the ending gives another interesting cliffhanger. They're a little bit obvious, but fun nonetheless... maybe because they are expected."
40,7,8,1," I got annoyed by Finn all the times.
","Finn is sooooo annoying, he cause all the conflict between characters for some stupid reasons, Finn don't deserve to be in The 100. HE IS RUINING MY MOOD WATCHING ARGGGGHG.Although the episode is good, could be better without Finn."
41,7,9,1," Day Trip is great
","I loved the episode, I liked Bellamy and Clarke bonding while traveling, the whole plot with the nuts was fun and it had a much needed break from love triangle drama"
42,8,7,0," Let's make peace
","The action is divided between the Ark and Earth in this action packed episode, filled with interesting plot developments and the typical stupidity that humans use to show on sci-fi shows.Finn, a character that was a little bland at the beginning but is getting, as everyone else more fleshed out with more episodes, sees Octavia leaving the camp and follows her, discovering her relationship with Lincoln. Finn, the only one with Octavia who seems to see that killing each other doesn't help the 100 or the Grounders, decides to set a meeting between the Grounders and Clarke. On the Ark, Diana shows her hand and decides to leave all the other behind and with her team of supporters go to Earth.This episode tries to show how people, who come from different backgrounds and have different perspectives, will have a hard time to reach an agreement. The Grounders and the 100 see things very differently, and also Diana's faction and everyone else on the Ark. Luckily for us, the show, even if it does so in a little bit heavy- handed way, tries to offer both views. And the actors, more comfortable with their roles, do a good job with the material. One of the nicest points of ""The 100"" is how the two bad guys from the first episodes (Bellamy and Councillor Kane) have become more sympathetic to the viewer, showing their backgrounds and their weaknesses. Here the show keeps working on the characters personalities and relationships, offering lots of grey zones.And of course, we also have some threatening looks between Raven and Clark, etc etc..."
43,8,8,1," The story is getting more intense.
","Some storyline are collapsing, stories collide together. And start setting up for the finale. Also this episode shows that how people got different perspective and start arguing about community's decision. It is really hard to pleased everyone."
44,9,6,0," Pest
","Murphy's back! He was taken in by the Grounders, who tortured him. But he run away and asks the 100 for help. They take him in, without knowing that he's not alone, as his body is infected by a virus. The people in the camp have to think fast, as many are getting infected, and the Grounders are planning on an attack.This last episode of ""The 100"" doesn't say anything about what happened in the Ark, keeping the viewer on the edge of their seats, as they will be wondering if the people up there are alive or not. The pod that arrived to Earth crashed, and no one seems to have survived. Is Diana and her people dead?The episode centers on the sickness and the imminent attack by the Grounders. The young people in the camp are inexperienced, and even if they have guns, they are still little puppies in the hands of the Grounders. Clarke continues her fall into militarism, becoming even more aggressive than Bellamy. Good show of how fear and the need of survival changes us.On the down side, people with bleeding eyes don't make for much fun, and the I-hate-you-why-are-you-taking-my-boyfriend looks by Raven are becoming a little tiny too much."
45,9,8,1," ... Ok?
","This episode is ok. Delivers fun, good reference, new storyline that starts and ends in one episode."
46,10,7,0," ...before the storm
","As this episode is a little bit of a filler one. A little bit, as it suffers from the rent-an-expendable-extra syndrome.The Ark has become a ghost ship, but there are some survivors and they will try to get the place going again before all die. The 100 are the center of the show, and the Ark has been treated a little bit like the fill-your-empty-moments before going back to Earth place. Actually, though, the characters in the Ark are interesting too, and seeing Kane getting a team to try to save as many as possible is a nice touch. On the ground, we have a couple of unnecessary situations (Raven, Raven...), and some of those pesky extras, as Finn and Clarke are put in a difficult situation when Anya, the leader of the Grounders, kidnaps them. But enough things happen, and enough cliffhangers are left in place for the ending of season one. Enough that this calm is like an afternoon on the beach before the clouds gather..."
47,10,7,0," Before finale filler.
","This episode is less enjoyable than the previous one. The story is kinda boring, lack of progession."
48,11,8,1," Is this our rightful place?
","The tension increases, and lots of things start to happen, as the 100 are starting to find an identity and will do anything necessary to protect it.Finn and Clarke are saved by Lincoln, but they are not back in camp yet, and the Grounders are following them. They have to take a decision, but it may be a difficult and dangerous one. In the 100's camp, Murphy gets ""Murphier"" and becomes a dangerous threat too. And in the Ark, they just have some hours left before the place dies, and with it, everyone that survived when the exodus ship left for Earth.As said above, this episode is a very neat one. Many situations are developed (and it keeps others in secret, leaving us to wonder what has happened to some characters), and the group identity for the 100, whose bases were put in the pilot and developed in all the episodes since, becomes to fruition. Clarke may be the real leader, and Bellamy the strong right arm, but this is a group that has and knows that has to work as a team to survive. It's a group that feels that they belong to Earth, that they deserve to be there and make a living. It can't have been that long since they arrived, but the show has done a nice job of making that sentiment real. The 100 are not inhabitants of the Ark anymore. They are Grounders too."
49,11,8,1," TO THE FINALE.
",God I hate Finn. He is annoying. BUT the build up for the finale is soooo good. The plans and everything is really really uplifting. It makes me wanted to see more.
50,12,8,1," Ending on a high note
","The last episode of season one of ""The 100"" has everything a young show could desire: characters that may die or not, some mysteries that may or may not be solved, cool action, and some missteps.With the big fight between the Grounders and the 100 almost there, everyone of the surviving 100 is nervous and trigger happy. We will get what we expect, and a little bit more: action, desperation, some sacrifices and well rounded situations. It doesn't break any new ground, but it doesn't really need to. It all is done quite flawlessly and even if the effects are a little bit cheap, the action will satisfy any fan of the show. Probably every character has their moment to shine.And will anyone from the Ark survive the re-entry through Earth's atmosphere? The appearance of the adults on Earth would change a lot of the dynamics of the show.The ending reeks a little bit of other sci-fi shows, and it points for a new direction in the second season of the series. It will be for sure a change of pace, which could be interesting or maybe alienate its fans. But that's for the future..."
51,12,9,1," Worth waiting.
","For 12 episodes of building up, the storyline come to an end. Worth waiting though. This finale is better than I expect from this show. Good action, Well developed characters, and some cliffhangers."
52,12,9,1," boom chakalaka
",I just started watching this show yesterday and im done with the 1st season. Loved it. Got hooked up as the season goes. Ngl the first half of this episode was funny but yeah.
53,12,1,0," DO NOT WASTE YOUR TIME!!!
","So I watched the first season of The 100. WOW! I hope the writers got fired. These juvenile ex-cons on Earth make every bad, incomprehensible, and immoral decision and are guaranteed to take a course of action that goes against logic, reasoning, and common sense. After a while it becomes predictable and you just have to think of the total opposite of what might be right, or rational, or expected to realise that inexperienced and uneducated teenagers (or the angry parents of them who now wished they'd used contraception) wrote this godforsaken rubbish.There are no plot twists or branches that make sense or are within the bounds of normality. No nail-biters or edge of your seat suspense cliff-hangers. Only mindblowing ineptitude and ridiculousness of Biblical proportions. 99% of the time characters fail at every level and the other 1% doesn't make up for the ludicrous storyline and unbelievable events that take place. This was like watching the Simpsons cast in an episode of Lost - from the mind of a socially challenged adolescent with a carte blanche to create the dumbest story for a dumbest story award. What a complete load of garbage from beginning to end.1/10 because I couldn't award it a fully deserving ZERO!"
54,13,7,0," It's getting crowded
","In the first season, when the 100 arrived on Earth, they were supposed to be alone. We soon discovered they were not, and the Grounders joined the fun. Close to the end of season one, the Reapers appeared. The end of the season teased us with a new group, on top of the Ark survivors arriving on Earth.And here we have the dystopian society that has gone through an end-of-humanity war and have become moles who live underground in a seemingly peaceful and cheerful society.You know it's gonna end bad.The idea of a new group, one that has kept its ""civilization"" but its probably hiding a darker secret than the Grounders is not an original one, and they show will have to tread with care not to become a caricature of itself. On the other hand, correctly done, it can add to the fun. In this first episode, it does, as it adds some interesting questions: how come they need people from over the ground, why are the interested in the people that came back from the Ark, what did they do with Anya...? Some of the 100 seem to like the change, to have a roof, food and be clean. Clarke, being smart, is not.On the ground, Finn and Bellamy are having another kind of problem. The people from the Ark are back, in with it, both of them are losing their position of power and becoming ""children"" again. Kane is going to take control, but for how long and how is what the show will have to answer. Bellamy and Finn have been free for too long, and it's difficult to cage a wild animal. Talking of wild animals, Murphy is also alive. The show has used him as a bogeyman, but it seems more humanity will be infused to his character. Another bad that becomes I-really-had-a-messed-time-growing-up-but-I'm-good-deep- down? Let's see.So many new plot developments, change of pace, and interesting new characters and situations make for a good start for season two."
55,13,8,1," Not bad and not that good neither.
","The point of this episode is just showing the next chapter of the previous episode. Also setting up a new world, not that interesting. And they could drop more foreshadow in this one."
56,14,7,0," Baby, baby
","""The 100"" keeps it interesting with this second episode of season two, where lot of things, and many of them interesting, happen.As expected from the previous episode, as soon as his feet were on Earth, Kane has become his old controlling self. Bellamy and Finn are not very happy with that, specially Bellamy, who is put in ""prison"". Clarke is the only one in the underground community that seems to think that something smells fishy, and, in an interesting turn of events, Jaha finds a survivor in the Ark. A baby.One good thing ""The 100"" does in this episode is keeping all the story-lines interesting. Murphy change of heart? Check. Raven's health? Check. Kane's desire to be the boss? Check. Etc. etc... The dynamics had to change after last season's ending and the beginning of this second, and the show has done an almost flawless job in doing so. The fan of the first season will probably be enjoying these first episodes of the second.But to keep a show interesting, and more in the case of a serialized one, you have to make the characters face more and more challenging threats, more and more dangerous foes. This second season of ""The 100"" is bringing us the underground community. Is it more dangerous than the Grounders? That they don't seem to be as savage as them makes us believe that, deep down, they must be horrible (but all of them?).""The 100"" keeps being quite interesting. And it continues to tease with more."
57,14,7,0," Adults came.. we are in charge now...
","I am re-watching this in 2020. I realize that the adults once they came just took over even though they sent the teenagers to what could've been there death. I really hated the fact that the grownups did not even respect the fact of the teenagers were doing it on their own. Early on I really hated Kane The first two seasons he was an absolutely horrible person. The way he treated Bellamy in this episode was incredible on a bad note, because don't forget they sent them down there."
58,14,8,1," Ok.
","Writing is ok, for Mount Weather there are some good foreshadowings which is pretty cool. Everything is kinda the same. Not much surprising."
59,15,8,1," Military state
","Are the Ark survivors falling into a dictatorship, so afraid of everything around them, that they would rather take their own controlled violence than whatever may be outside?That's one of the questions that this really good episode of ""The 100"" asks the viewer. What are we willing to sacrifice for our own security. The classic freedom-security conundrum. Of course, it keeps dealing with all of this in a simple and a little bit heavy- handed way, but it's enough that it is asking it and that, while doing so, it keeps being a lot of fun.Is Kane going the ""I-need-all-the-power"" route or will he remember his change of heart that occurred in the Ark? Is the unexpected and dangerous team of Anya and Clarke going to be able to run away from Mount Weather? Are Jasper and Monty going to find what happened to Clarke? And what about Lincoln?So many things happen, and the pace is so frantic, that you forget about Jaha or Raven, as you will be wondering all the time about what is happening at that moment, in front of the screen. ""The 100"" is getting to a point where it is not boring, always rising interesting questions. But some of the characters's personality development are a little bit suspect. Like Finn's. So quiet, thoughtful and smart in the first season, he is getting Bellamized (Murphyzied?) too fast. And even if the show does a good job in making its characters's actions justified, sometimes it's in danger of going over the fence.But with lots of action, and some food for thought, ""The 100"" keeps being quality sci-fi."
