,num-episode,review-score,positive-negative,review-comment
128,7,7,0,"""The Pointy End,"" the show's best episode since its fifth and probably its best so far, was the first episode of the show that created that never once made me think, ""Eh, I preferred that in the book."""
130,7,6,0,"Ned is imprisoned and only has about three minutes of screen time in this episode, so you would guess that the show suddenly gets boring, right? Hell no, Robb is Lord Stark now and boy, is he badass in this episode. This is the first time that he really gets to be a major character and he owns absolutely every single scene he's in. We can expect one of them to die in the season finale (maybe both, but I sincerely hope not) and Richard Madden's intriguing performance as Robb managed to make me root more for him than for Ned. Catelyn finally getting together with at least parts of her family was also great to see and the scene with Robb and her was utterly fascinating. And while the Winterfell story part was clearly paramount in 'The Pointy End', most of the other locations were entertaining as well. Despite the huge events at the end of the last episode, King's Landing isn't that much in the fore as I'd expected it to be which is not generally a bad thing because even those scenes dragged a bit from time to time, so I think I would've only been bored with more scenes there. Lena Headey's turn was once again absorbing to watch and Jack Gleeson also gets more and more interesting, but I just feel that his character has way too little screen time to really let the audience get to know him. One crucial moment in this episode was Tyrion encountering his father Tywin for the first time to be seen on the show while having a lot of grubby companions coming with him. Their conversation wasn't as interesting as I'd hoped it to be, mostly because there wasn't anything new being discussed in the scene. In the end, Peter Dinklage proved once again to be a hugely talented actor and Charles Dance also did a very fine job as his evil daddy, the plot just wasn't that juicy.The weakest scenes of this episode were happening at either the Night's Watch or at whatever place the Dothraki scenes are taking place. Unnecessary supporting characters are being introduced again and there are some serious acting problems to be found. Even though George R. R. Martin, the author of the novels that are the basis for the series, wrote this episode, I feel like it isn't exactly how it was meant to be. Some important scenes last for too short, some less important scenes get too much time. I always feel like they don't use all the potential they've got."
409,29,6,0,"Actually,This is the type of episode which should convince you to read the books...Come on! 2000 pages in 12 months: you can do that! Pros: - you won't have to wait for any plot or surprise week after week - you'll deeper dive into Westeros myths & legends (e.g. Rhaegar named for the 1st time in this episode!) - honestly, seeing the TV show + reading the book will open your eyes on how the story is settled down by the authorCons: - still 2 other books to wait ==> potentially 6000 pages in total! (so your next 1-2 years reading)!;-)"
407,29,3,0,"... and a truly dismal finale to the season. If you've seen Red Wedding and haven't seen Mhysa yet do yourself a favor and just skip it to avoid the let down as you'll gain absolutely no new information, story lines aren't advanced in any way with this episode and the gritty parts of the series, the sex and violence, that have become a trade mark of what has been a unique and entertaining series to this point, are utterly gratuitous, pointless and without merit.The most disappointing part of this episode might be the continuing irrelevance and diminishing significance of one of the best storyline and characters in the series, that of Daenerys Targaryen and her dragons. With each episode less time has been devoted to her and when she does appear, as in this episode, it seems to have no importance what so ever and her dialog is beginning to border on silly. Her appearance here seems to be little more than an after thought.There seem to be a lot of fanboy types marking this episode up and giving it glowing reviews but don't believe them. Amongst the friends, family and co-workers which my wife and I talk about this show on a regular basis there's been universal disappointment with the episode especially as the season finale.So much so that I can't help but wonder if HBO and the show's producers didn't inflict a mortal wound on the series with this disaster. We won't see another installment until 2014 and our own sentiment is reflected in the answer to the question we've asked of everyone we've talked with; what are you looking forward to next season and the answer to a person is, nothing.This all seems very reminiscent of the progression of Battlestar Galactica, a terrible season 3 ending that left fans wanting, an extended period of time until the next season premiere in which people stopped caring and then the end."
728,62,3,0,"Starting with season 6, this TV show became just a TV show with rushed scenario, cliché dialogues and easy to predict events. Song of Ice and Fire's success was no-rush, creative and very hard to predict, personalized stories. Especially with this last episode, it's easy to see how the quality had dropped to the level of a ""just an American TV show"". There is no space/time concept anymore, everything is happening in a rush, no logic at all. It's like all these locations are next to each other and anybody can go anywhere any time. Thousands of ships of navies are clashing and being destroyed, HighGarden has fallen in a few hours (which is supposed to be the richest and has a big army), Jon Snow is being teleported from The Wall to Dragonstone...HBO is just eating the fruits of first 5 seasons which were based on well thought, well written books, not some TV scenarist."
567,45,7,0,"Arya is tested by Jaqen H'ghar in the House of Black and White and he tells that she is ready to become someone else. Tyrion and Jorah have a conversation about Daenerys and Jorah's father and how he was murdered by his own men; out of the blue, they are captured by pirates and turned into slaves. Little Finger stumbles with Lancei in King's Landing and has a meeting with Cersei and he plots against Stannis Baratheon and the Bolton. Jamie and Bronn are riding in Dornes and they meet Myrcella; however they need to fight against the Sand Snakes. Lady Olenna meets with Cersei to discuss the future of Loras Tyrell. He is judged by the High Sparrow and Margaery Tyrell is involved and arrested with her brother to a formal trial. Sansa marries Ramsay Bolton and he humiliates her. ""Unbowed, Unbent, Unbroken"" is one of the weakest episodes of ""Game of Thrones"". Arya used to be one of my favorite characters; however her segment in the House of Black and white is boring. Little Finger is annoying with Machiavellian schemes against everyone that is powerful making the viewer lost about his true intentions. Cersei's plots are also annoying. I did not read the book, but the last scene with the humiliation of Sansa by Ramsay seems to be totally unnecessary. My vote is seven.Title (Brazil): ""Unbowed, Unbent, Unbroken"""
624,52,7,0,"A good episode by any standard. Yet clearly falls short of the soaring bar GOT has raised until now. The absurd, overly-choreographed fight scene between a younger Eddard Stark and foes, complete with cliched banter, reeks of pure cheese. And the High Sparrow story arc is still as bewildering as ever: how exactly this faith group managed to rob the crown of its power so completely and for so many episodes simply doesn't make sense. Why do Cersei and the small council sit idly by while the sparrows run rough shod over the established order? Why is no one counseling Tommen to eliminate them? I hope that GOT resolve these frustrating inconsistencies soon."
566,45,4,0,"My least favorite game of Thrones episode. While some parts of this episode are okay, it is dragged down by the poor writing and directing in Dorne, in addition to the horrible shot at the end of the episode. The remaining scenes of this episode aren't enough to make it even mediocre.Mylod really performed poorly here, failing entirely to create suspension in the fight scene, nor make any of the scenes emotional or believable.Not a good episode of GoT. Possibly the worst.4/10 - Poor"
565,45,7,0,"When Unbowed, Unbent, Unbroken aired on HBO, fans of the show and the book series hated it for being more brutal and disturbing in comparison to the previous episodes. What's worse it that it received a 58% rating on Rottentomatoes. Ouch. However, I think that this is a pretty good episode. But before I can give it some praise, there are some problems I have with it.In the previous episodes, the dialog was mostly good despite how slow the plot progression has gotten, but it's sad to say that the dialog here is really weak. It came across as too violent and disturbing particularly the ending sequence where Ramsay Bolton rapes Sansa Stark which came across as really unnecessary (which was the only reason why it received such controversy) and made me felt sorry for her. The second and third problems are the script and plot progression. The script does have some fine moments, but it lacks the spark that made the previous episodes (not to mention the previous seasons) so great. Also, the story did little to advance the story-arcs for the Lannister and Stark characters.However, despite those flaws, everything else turned out OK. The performances, despite how weak the dialog was, are still good, the scenery, sets and costumes are still gorgeous, the music score from Ramin Djawadi is still fabulous and suited the atmospheric tone in some of the scenes really well, the directing is really good, and the editing is even more sharper this time around.So, overall, Unbowed, Unbent, Unbroken is by far the weakest episode of the entire season, but in spite of it's problems, it's still pretty good. :)"
570,45,7,0,"First 4 seasons I couldn't wait to watch the next episode, this season I couldn't care more. I was waiting for the story to build up, but 6 episodes have passed and - nothing. We used to gasp at the events, discuss the reasons behind actions, bet on what would happen next. To me this show represented real life - brutal, sudden, dark... with a few decent human beings among ruthless beasts.Yes, I felt bad for some of the events, but I was not watching GOT to feel bad, I was watching it to feel the life in it. What I see now are cheesy scenes and pitiful events, nothing more. To me, it became more like a lot of other shows just in different costumes. We just cancelled our subscription to HBO Now as we had it only to watch this show."
723,61,3,0,"Again, this has not improved. Boring, slow and without emotion and not surprising at all.The first episode I did not like, but this one has been worse than the previous one.Maybe my expectations are higher than the reality, but for me it's a shame that a good television program is getting worse at times.I hope that in the ones that are still to be broadcast they will introduce more emotion, surprises and intrigue, with something more vitality in the characters, as it happened in seasons 1, 2, 3 and 4."
747,64,5,0,"The fan theories floating around are more developed when they are leaked and I think the director/writer should respect the audience's IQ. Alan Taylor who directed some episodes of Season 1 and 2 should be bought back in the helm. His direction was fantastic and I still remember him, can't say if the North remembers him or not!After Joffrey's fate, the series is going in a downhill. The library reading session was quite lame and boring. Every character is travelling like they are using a helicopter. Come on writers, everything seems a bit rushed and forced!With the concentration on narrative, we're left with an outing that can't help but feel like it's lacking where it really counts. In short, old wine in a new bottle!"
750,64,5,0,"Came to 'Game of Thrones' fairly late in the game and due to being so busy the binge-watching was gradual. Have found myself truly loving the show, very quickly becoming one of my favourites. It totally lives up to the hype and not only does it do the brilliant source material justice (a rarity in television) it is on its own merits one of the finest, most addictive and consistently compelling shows in recent years and quality-wise it puts a lot of films in recent years to shame.After such a magnificent previous episode in ""The Spoils of War"", it is understandable that fans would want the next episode to be good or as worthy, even if it wasn't as good or a masterpiece (both of which a tall order seeing as such high quality is difficult to equal or surpass). Unfortunately, ""Eastwatch"" turned out to be a major disappointment. Not just the worst episode of the seventh season, but also for me the worst episode since Season 6's ""No One"" and one of my least favourite 'Game of Thrones' episodes. It's not terrible, it's actually watchable but for a show as great as 'Game of Thrones' watchable is not good enough.""Eastwatch"" certainly has good things. Visually, it looks amazing, as one would expect for 'Game of Thrones'. The scenery is throughout spectacular, the sets are hugely atmospheric and beautiful on the eyes with a real meticulous eye for detail and the costumes suit the characters to a tee. The make-up is beautifully done. As well the cinematography and editing, which are cinematic quality as well, while the special effects are among the best of the latter season episodes.One cannot not mention the thematically, orchestrally and atmospherically multi-layered music scoring and the unforgettable main theme. Again, worthy of a high-budget fantasy/action/drama film. The acting is, considering the material, quite good, though no tour-De-force performances. Lena Headey and Peter Dinklage come off best, concerning Dinklage though it is very difficult to get a bad performance from him. A reasonable job is done setting things up and putting things into place. There are minor revelations, such as Gendry's return, and some nice reunions. As well as some good attention to character interaction, such as Arya and Sansa, with Cersei being the most interesting character here.However, there are disappointing elements which generally have been covered already. There are no real surprises or shocks, the biggest revelations are not huge and not leaving-one-floored-like. Other episodes do a much better job advancing characters and progressing the story in general. There are moments here but not enough. It all feels rather bland, lacking the fire-blazing intensity of ""The Spoils of War"". ""Eastwatch"" is far too rushed, making events feel choppy and jumpy. Too much of the story is not developed e nough and borders on the implausible. Tyrion's plan agreed especially, easily the most absurd and lacking-in-consistency-and-logic story he's had and such an interesting character is much better than this. For a show whose scripts are generally thought-provoking, layered, passionate and sensitive, the writing here majorly disappoints and actually the complete opposite. Here the writing is forced, repetitive, bland, simplistic and far from subtle. The character writing has been far meatier, nuanced and complex.Overall, watchable but hugely disappointing. 5/10 Bethany Cox"
769,67,7,0,"Its not bad, it is just becoming very blank, what made GOT GOT is lost.
It's very sad they ran out of books and it seems without that guidance they are turning to classic hollywood style of filming.
Caracters have lost their identities, they are just a pale version of themselves and everything is filled up with predictable conversations seen in thousand hollywood movies.
Season 7 all over again.
GRRM why didn't you finish the books? Lol"
768,67,7,0,"We got a very tepid start for the last season of one of the greatest shows of the decade, and it seems this season will suffer from the same deficiencies of Season 7, namely, absolutely terrible pacing, mediocre writing and predictability. I think the magic of the earlier seasons are definitively gone at this point.All those problems stem from the fact that there is no longer any source material. Instead of condensing an already fantastic series of books, now the writing team is tasked with filling gaps and turning an outline into a coherent narrative. And thus, all the deficiencies (such as tropes, gaping plot holes, and predictability) of standard Hollywood screenwriting became apparent the in last couple of seasons.Many central characters such as Tyrion, the Hound, Daenerys and Jon Snow have progressively lost key aspects of their personality and become run-of-the-mill tropes. The terrible pacing simply exacerbates this issue as the show-runners attempt to go through a ""check list"" and juggle so many different arcs in a 45-50 min episode. The result is a complete lack of depth, character development, and very short scenes, and we the audience simply can't get as emotionally invested in the characters as before.But, we can expect some key revelations tying up the story and fantastic CGI dragons and battles, so this will definitely be entertaining just not on par with earlier seasons."
93,5,7,0,"The previous episode was awesome and so my expectations in this ""A Golden Crown"" were pretty high. As it turns out, it totally manages to hold up the pace of its predecessor and contains a couple of important things happening. I was extremely looking forward to see how things will be after Ned's and Jaime's fight and it already began in a superb way when Ned awoke with a furious Cersei and a King Robert who has finally calmed down after his uproar in ""The Wolf and the Lion"" standing in his room. The episode didn't get any worse after that, but I'd say it was already one of the best moments.The continuation of the storyline of Catelyn and Tyrion proved to be hilarious with once again, a marvelous monologue by Peter Dinklage and great performances by all other actors involved. The sword fighting in this episode was too really well-made and the fight scene in which we first meet Bronn was incredibly cool.Ned's discovery in this episode was great as well and really blew my mind because I'm completely unaware of the plot of this series. Sean Bean continually improves in his role and is amazing when he gets to be the regent while reminding the audience that he is clearly the most likable character on this show. It was also really nice to see Isaac Hempstead Wright doing something again and I think it's really interesting how Theon Greyjoy gets more and more important.Clearly the best part about ""A Golden Crown"" is the story part of Viserys, Daenerys, and the Dothrakis who return to the screen after their short absence in the previous episode. There are some major things happening with those characters and we really get to see how the characters progress - all of this is staged perfectly and has a really dark and captivating look to it since all of their scenes are set indoors. The final scene of this episode may just be the best Game of Thrones moment yet and I was so freaked out because of how fantastic this was. I'm completely intrigued in the plot (except for the one at the Night's Watch. Seriously, I didn't miss Jon Snow and all his colleagues at all in this and the last episode - I almost forgot that those characters existed when I was watching these two awesome episodes) and technically, it's extremely well-made. But I can't help myself but to think that Game of Thrones still has a tad more potential to it than it shows us at the moment with supernatural stuff and really big fight scenes still stashed away from the audiences. I'm hoping that the season finale will provide me with the scenes I expect and for now I just stay with loving all the amazing characters and visuals."
602,49,6,0,"Where do one start. Game of thrones has provided us with 4 great seasons of adaptations of the books. However, all good things must come to an end. The show writers have clearly showed their incompetence now. I think it's safe to say, that all the book readers and non-book readers agree that some changes are needed, to make a series of the books. However, as Benioff and Weiss has showed us, you can't do too many changes. And that's exactly what they did with season 5. Yes, the show is now ahead of the books in some story lines, but no, that's not an excuse.Benioff and Weiss have decided that shock value (although few of the events were even shocking) is more important than good writing. So lets start with Jon Snow being stabbed. In the breakdown of the episode they talk about how they didn't want a ''bad guy'' like Alliser Thorne to kill Jon. So they decide that Ollie should ''surprise'' us all and stab him. Although it has been clear for almost the entire season, that Ollie would do something stupid when Jon returned with the Free Folk. It was simply predictable and boring.The battle for Winterfell was almost a major disappointment. I don't mind that Stannis lost the battle. We still don't know the results in the books, but I assume he loses in the books as well, or this would have been an EXTREMELY stupid way to go for the show. However. Stannis is supposed to significantly outnumber the Bolton force, and he's perhaps the greatest general in Westeros. Take that, and combine it with the build up they've done for the entire season, and you'll get one hell of an ending to the season. Or not. Because what the f*ck, happened? In the show half of the army desert before the battle. OK, but that if he had such a large force to begin with, he shouldn't have been so outnumbered as he was. Not to mention how he just walked into a trap, and then not even preparing a strategy. They didn't even show the battle. So what was the point of the build up then? And then, at the end you have Brienne killing Stannis, with some stupid logic. I mean, you butchered the character of Brienne and Stannis in one episode. Do you really mean that Brienne was THAT stupid? ''Rightful king''. What!? Everyone. And I mean EVERYONE in Westeros knew Stannis was the rightful king by law. It doesn't mean they supported him, but they weren't stupid. Brienne obviously was.The Sand Snakes continue to be awkward and bad. ''You want a good girl but need a bad pussy''. Are you shooting a porn? Like seriously, WHAT THE F*CK!? How did anyone come up with lines like those? And yet again, you kill off a character who haven't died in the books (and probably won't do anytime soon either).Theon rescuing Sansa from Miranda, only to jump of the wall in what seems like a suicide. What a surprise! Now we're left with a useless cliffhanger.These are just some of the things I've found bad with the episode, I could have gone on for much more, but that wouldn't leave place for why I didn't rate the episode 1 star. For even though the episode were at times incredibly stupid, some parts were brilliant. Cerseis walk of shame, and the incident with Arya was both well done storyline-wise, and actually done in the show. Making an otherwise stupid episode at least watchable, and also earning it 6 stars fr"
765,66,3,0,"I have found this show to be enthralling, but this episode (even worse, actually: season finale, as I only found out after watching it) was like a slap in the face, and the disappointment only grows the more I think about it. As I was watching I couldn't help but get excited, but then quickly realised I just witnessed blatant abuse of my own and others' fascination and love for a great story.I haven't read the books (I hope those who have can take refuge in them), but I very much enjoyed the way an intricate world was meticulously built up and used as stage for incredible plots, twists, battles, and great character development (which was all the more satisfying as characters we'd been led to believe were 'main' got swatted like flies, and others stepped forward).The TV show did a great job of all this, but then at some point (perhaps when running out of book material) decided to (or could only manage to) pump this delicate foundation for cheap thrills and fan service, glossed over with spectacular Hollywood action scenes. Plot lines carefully laid over years have been torn up and clumsily tied together for the sake of some ""awesome scenes"", and nothing has been done protect the integrity of the GoT world or story. After this episode there is little left to excite anyone - who honestly cares about any of the characters anymore? All that's waiting for us is a clash of living vs dead - it's like we're all incredibly excited to see the next crappy zombie movie to come out.The show has plenty of momentum left for a chance to redeem itself, but it will take hard work to patch together something respectable from the rubble left by these last episodes."
303,21,7,0,"Pacing wise, this is similar to the first episode of season 3, but for me, it is a little bit better.We catch up with Jaime Lannister and Brienne of Tarth, and we also get the welcome return of Arya Stark with Gendry and Hot Pie, they were some of the most entertaining characters in the last series. Gwendoline Christie and Nikolaj Coster-Waldau have a great chemistry and it is a joy to watch as their characters trade insults and argue.
We get introduced some new characters, the introduction of Noah Taylor's Locke, is brief, but in our our first glimpse at the Brotherhood without Banners it proves a lot of fun. With Paul Kaye's Thoros of Myr, the writers have created a character that Kaye brings to vibrant life. There's something magnetic about Kaye's performance. But for me the introduction of Lady Olenna-the Queen of Thorns is the big one. Diana Rigg is a delight, I adore her.I have to say, I'm not loving the Bran storyline, it slows things down too much. not the fault of any of the actors, as they are all competent I also did not love the scene with Catelyn and Tulisa. Poor writing (I'm sure to give her character some sympathy) aside, it does not ring true, and was a mistake.The episodes ends on an appropriate cliffhanger that should keep viewers wanting to come back for more, but the pace needs to pick up a bit. don't get me wrong!! This is a perfectly solid episode, with some fine performances and moments, but it's never going to be classed among the best episodes of the show."
763,66,6,0,"The reason this shows was populor was because it gave a realistic feeling of fantasy world. I am very disappointed with Season 7, poor story writing, too much rush, predictable story, too many plot holes and lack of sensational music which all made it the best show so far. I am a big fan of GOT but season 7 was honestly very disappointing."
604,49,3,0,"OK, we agree that we all love unexpected twist and turns, and the unpredictable shows are always the best.We loved so many surprises in this show and that's part of what made GoT so good.I haven't read the books, but I've heard they want to stray away from them to keep it more interesting. No argue there.But this time, what we see in this episode is a meaningless death (I'm not spoiling anything, of course you expect someone to die in the last episode of a season, don't you?).There is simply no real reason to do that, clearly this is not how the story is meant to go on, and it makes so much of what has already happened basically pointless. It washes away a lot of what we've seen, and I won't be surprised if more people will do what I will: give up the series and start reading the books.I don't know whose idea this was (Martin's or the producers'), but IMO it is purely a run for sensational, and an attempt to attract publicity through shock.I believe that this episode was a total failure."
748,64,1,0,"It feels the amazing world built in the first 5 seasons has been handed over to a couple of teenage fans to shuffle around...We have had 2 decent episodes out of 5 so far, with 2 to go. This math simply does not add up...I used to be so excited and proud to recommend this series to anyone and everyone with a brain. Now I feel embarrassed to admit I still watch it myself. This has gone from an intricate and highly intelligent story into the most mundane and predictable nonsense. The fan theories floating around are more developed and thought out than the actual direction the plot of the show is taking...The p*ss poor writing, directing and editing of the last 2 seasons have affected the cast of great actors as well into performing forced dialogues and scenarios. The show has lost it's heart. Everything feels so flat, there are no more logical twists or schemes. Characters just show up from place A to place B and read their lines in the most monotone way possible then proceed to move from point B back to point A to repeat their forced dialogues. Motives make no sense anymore and every scenario is so predictable that fans essentially guess major plot points weeks ahead, and in very unfamiliar GoT fashion, the show runners seem to oblige the silliest of the theories. This episode felt like a combination of ""Star Trek: Next Generation"" cross ""Lost"".The problem lies in the fact that this series started out attracting intelligent viewers globally due to its complexity and multi-layered story line that resonated in reality and felt extremely grounded. It has now turned (Seasons 6 & 7) into your average run of the mill TV series riddled in plot armour and predictability and therefor appeals to teenagers and children and has essentially sold out it's core fan base. This in turn has us stuck in a predicament where we are too invested to turn our backs on the series, therefore we end up lying to ourselves that this series is still what it once was... It's not. It hurts me to say it as I've tried to lie to myself and get myself to take Seasons 6 and 7 seriously and ignore the shortcomings, but my brain simply will not allow it. Therefore I feel somewhat betrayed and my intelligence insulted week after week and this show has me feeling stupid for still watching it.Peter Baelish (the man who started the war of the 5 kings), has turned into a cartoon villain from Darkwing Duck, which therefore trickles down to every other major character being completely dumb-ed down as well. I will be watching the series until the end as I have committed 7 + years of my life to this world now, but I don't think I will continue to lie to myself to save my feelings any longer.... Season 6 had 2 great episodes, and season 7 has had 2 as well. That is 4 episodes out of the last 15 that have been GoT standards. Whereas Seasons 1 through 5 were near flawless in my book. The series died with Jon Snow as far as I'm concerned and I will gladly re-watch the first 5 seasons over and over again, and fill in the rest for myself I suppose...So f#*%@$g disappointing."
605,49,1,0,"Unlike so many prone to sing praises of GOT this season, I completely disagree. Many times during this season I questioned why I was bothering to watch this show. My sense was that it was mainly because of it's better past and hoping for some return to former glory or some kind of redemption for sucking away so much of my time and energy. The writing this season many times left me feeling that the writers really didn't want to do the show anymore. Story lines grew weak and characters grew flat. There were a few places that it lived up to expectations based on past success but for the most part this season and most of all this finale were sub par. I have not read the books. And while I didn't care for some of the directions that story lines took, all of that could have been overcome by better writing. Granted based on past success there was a lot to live up to, but this season the writers did a very poor job. If I decide to watch next season at all, it will be after it is over so I don't waste time wondering what will happen. Based on this season it would be constant disappointment."
758,65,2,0,"The GoT Suicide Squad reenact the Suicide Squad movie. No Story, no Brain, no sense. But a lot of CGI.This Episode was so extremely disappointing, because it is the antithesis of it's own core essence. Instead of a gritty, grounded and deep Story about, loyalty, bravery and human nature, this Episode sold it's Soul for a shallow CGI fest, where everything is force bend to create fake tension and cool One-Liners. Everyone (except Tormund) is out of character and yoloing their way through this Episode. If Game of Thrones jumped the shark, this is the Episode it happened."
757,65,1,0,"Well, looking at the surprisingly high score and the drastically divided opinions towards this season, I would say that GoT has dropped to Transformers level. This applies to both the quality of the show and its fanbase.The high score owes partially to its brilliant past, but it doesn't mean that in any way it deserves the score it has right now.The writers are great at adapting the books, but they certainly suck at creating based on mere traces. Maybe they would do better if they were not briefed by George R. R. Martin, cuz at least they would not be dancing in fetters.R.I.P. GoT."
756,65,4,0,In just one episode they made more stupid things then in 7 season before.
755,65,3,0,But forget to bring their horses. You've got to be kidding me.
